date,url,rating,user,opinion
on 4 June 2018,/gp/customer-reviews/R1EE9ZHENLSCD7?ASIN=B01DDP7D6W,4,Ravindra,Good working condition super
on 25 October 2017,/gp/customer-reviews/R1F0PG0SRI4CJA?ASIN=B01DDP7D6W,4,Munna,Good mobile good price
on 4 January 2017,/gp/customer-reviews/R2IZVIOADQD6EV?ASIN=B01DDP7D6W,5,vipin,Nice product...fast delivery
on 5 October 2017,/gp/customer-reviews/RW291B6TD889M?ASIN=B01DDP7D6W,5,Amazon Customer,Good product..
on 18 August 2017,/gp/customer-reviews/RQAMDKFX16V53?ASIN=B01DDP7D6W,3,Amazon Customer,Delivery was good.On this price best budget phone
on 30 October 2017,/gp/customer-reviews/R12M21FXXJGUE?ASIN=B01DDP7D6W,5,anup brahmachari,very ggod product at this price.
on 14 April 2017,/gp/customer-reviews/R2UNFDNVBEIPMY?ASIN=B01DDP7D6W,4,Amazon Customer,Nice phone ever nd never hang this phone.. samsung best smart nd chepest phone ever..
on 12 January 2017,/gp/customer-reviews/R20ED4WVNDCPHV?ASIN=B01DDP7D6W,1,Amazon Customer,Not good my phone touch in not smoothly........but other Android phones are very good touch qualityAnd bettery is not good also....Dont buy this phone
on 22 June 2017,/gp/customer-reviews/R1M656HS9DTIGM?ASIN=B01DDP7D6W,2,Amazon Customer,Just purchsed before one and half month and phone charger is ntt working.
on 21 December 2016,/gp/customer-reviews/R2JTKJX8R6V2MM?ASIN=B01DDP7D6W,4,Amazon Customer,"It's a good phone for that price......But it gets slow sometimes, on heavy use or by opening 2 or more apps at a time....."
date,url,rating,user,opinion
on 8 March 2018,/gp/customer-reviews/R4W2853PB9LTU?ASIN=B01DDP7D6W,1,SUDHIR SINGH,Worst ever mobile. The battery drains very fast. If available I would have given minus rating.
on 1 June 2017,/gp/customer-reviews/R1RZU2L9EFNFNH?ASIN=B01DDP7D6W,4,Love Gupta,Good
on 23 May 2017,/gp/customer-reviews/R3BDUBM37YAMLZ?ASIN=B01DDP7D6W,4,Sudipta Dey,A good product but the battery  runs out quickly.
on 25 July 2018,/gp/customer-reviews/R3D5PL8RFTJSMD?ASIN=B01DDP7D6W,5,Charm boy,Genuine products at affordable price
on 15 April 2018,/gp/customer-reviews/R2KR08OG75WNWB?ASIN=B01DDP7D6W,1,Harikrishnan,"DoNt buy thIS Mobile,Totalay waste of Your mONEY,hanging this mOBILE AND Not working This mObile,"
on 2 July 2018,/gp/customer-reviews/R3EKJZUWZ6TXEH?ASIN=B01DDP7D6W,1,E SHANMUGA SUNDARAM,Received without ear phone - many of the inbuilt apps including facebook does not work
on 24 March 2018,/gp/customer-reviews/R3EDQ83GW8KR3U?ASIN=B01DDP7D6W,1,Vasanthi,"There is frequent variation  in the  prize of pro 7 gold posted,  Confirm corrrct prize of the item."
on 25 September 2016,/gp/customer-reviews/RUMD36M6NLUAQ?ASIN=B01DDP7D6W,4,Mohd Arshad,Go and buy without hesitate
