date,url,rating,user,opinion
on 2 January 2018,/gp/customer-reviews/R23AUMABWVHKS9?ASIN=B01DDP7D6W,3.0,Somnath Nandy,It wont work after 2018. This phone has a 32 bit OS. It wont support apps after 2019 July. Wake up and know the facts. Amazon wont even allow u a refund or a replace with a different product.
on 9 September 2018,/gp/customer-reviews/R1RJCGB7FI8DCL?ASIN=B01DDP7D6W,4.0,Arunava De,"The phone is my second one. 1.5 years back I bought the same phone. Review after 1.5 years of the phone. Phone is sturdy, good sound and good overall general working. But recently problems when the charge falls below 50% with the internet on. I am here to point out that I don't use games. And I use only Whatsapp and Telegram apps.When charge goes below 50% it switches off and has to be connected to a charger to switch it on again."
on 5 September 2018,/gp/customer-reviews/R1JZDE9CBFW7G0?ASIN=B01DDP7D6W,3.0,Arsh,"Bettery is worst, camera quality not good, take very long time to charge, very heavy weight. So my suggestion that if you have any other options on this prise range or not a fan of Samsung, plz give a chance to other manufacturers."
on 18 January 2017,/gp/customer-reviews/R3IFREDAGENFH3?ASIN=B01DDP7D6W,5.0,Naresh Raj Talari,The charge in time is very long..It needs much time to charge upto 100% from 0%..This is a good product from Samsung  In all other aspects except this battery problem...
on 20 October 2017,/gp/customer-reviews/R1P4T4C9KHUPKG?ASIN=B01DDP7D6W,5.0,Ha ha ha,I have purchased it in Diwali time. So got it in really great price(Rs.7590). Device feels good and light.  The display is TFT. That's why it does't give the nice feeling of Samsung J series. But I am happy what I got in this price range.
on 21 September 2018,/gp/customer-reviews/R2U3CRX8OS3ZZ5?ASIN=B01DDP7D6W,2.0,Sanju singh,"Bought this phone a lot ago. Just providing review after selling it second hand. This is an averange low end device. In this price range there are a lot of phones better than this.•Build Quality- The build quality is average, nothing appreciatable.•Camera Quality- Camera gives accurate color reproduction. That's good. But detailing is not up to the mark.•Sound Quality- The sound quality is pretty better.•Processor- The processor is not much powerful. Not for any kind of gaming. Heating issue comes on constant use of phone.•Battery- The battery life is quite bad. It have a juice of one day only if you make calls or surf a little otherwise you have to charge twice the mobile.•Price- In this price range I won't recommend it to buy. There are a lot more phones better than it in same price segment.•Overall Performance-  The phone is an average phone. If you make calls only then you can buy it but strongly recommended not to buy. There are a lot mobiles in this price segment."
on 4 October 2018,/gp/customer-reviews/R1RXVGIS1MSJY?ASIN=B01DDP7D6W,1.0,yogendra saw,The Amazon had given duplicate material...The phone sound as well as pictured quality worst...Also when I gone to Samsung service centre they had told that Amazon is giving us the mobile BY SOFTWARE ROUTING AND IMEI NO. CHANGE ITS 100% SURE THAT AMAZON IS DOING SOMETHING... SO THAT CUSTOMERS CAN'T UNDERSTAND
on 4 July 2017,/gp/customer-reviews/R14XZQP1T0M979?ASIN=B01DDP7D6W,4.0,Samridhi Sharma,"A great phone at this price. Everything is great but you have to compromise with the looks and battery..  Other than that, the phone should be bought in the sale..  I bought this phone last month in june  @rs. 7990 which is just the price of On5 pro..."
on 27 August 2018,/gp/customer-reviews/R17C2AVO5V093K?ASIN=B01DDP7D6W,4.0,Swapan P.,"Just amazingI bought for my auntyShe is happy with this specially great display front camara is average and other are all good but one little thing I m not satisfied,earphone is not available with this product"
on 13 September 2018,/gp/customer-reviews/RQ5WP9UJNF3QK?ASIN=B01DDP7D6W,1.0,Saikat Baidya,Bought Two On7 pro phones... after using 12 to 14 Months both phones r good for nothing coz of Motherboard Issues.Don't buy any 'On' Series Phones... Go buy from Stros or if u wanna buy online then don't buy any 'ON' Series Phones.
date,url,rating,user,opinion
on 16 October 2017,/gp/customer-reviews/R1SZSTBKSWF4R3?ASIN=B01DDP7D6W,3.0,Amazon Customer,Good mobile for watching video and using net front camera is very bad back camera is also not good
on 25 March 2018,/gp/customer-reviews/R1GHYB0S4B6JPR?ASIN=B01DDP7D6W,2.0,Amazon Customer,"Model is very nice, but mobile is hanging started at next day of buying. It's taking too much time for battery charging and heating fastly. So guys never choose this model and don't waste your time and money."
on 29 August 2018,/gp/customer-reviews/RU9SGCQVJKEOR?ASIN=B01DDP7D6W,1.0,Geethanath,"It's been two months over, I am facing the problems like struck, delay in open the application and the battery performance is worst. I don't know how to rectify this problem. There was no head phones were given in the box. I taught it might be a refurbished product. Amezon making people foolish."
on 1 July 2018,/gp/customer-reviews/RPVNEVH2JUQZ0?ASIN=B01DDP7D6W,4.0,Asha,Good phone..does whatever you need .. in the lower segment phones it's a good Android phone .. go for it
on 23 May 2018,/gp/customer-reviews/R92RE0CM424TK?ASIN=B01DDP7D6W,5.0,Amazon Customer,i bought it from amazon on July 2017. Till now no problem. its running smoothly. Network coverage is good. Never hang till now. Camera quality is superb. battery is strong enough for a day till now. thanks to amazon
on 30 September 2018,/gp/customer-reviews/R25UYNF556FHP4?ASIN=B01DDP7D6W,5.0,Amazon Customer,I hve been using this phone for 6mths now. This product is probably my best value for money. Very satisfied. Love to surf on this phone. Screensize..clarity..typing space..excellent.  Photos & vedios too cme pretty nice. Sound is ok.Worth buy
on 11 September 2018,/gp/customer-reviews/R13WZK4Y5OFZRA?ASIN=B01DDP7D6W,5.0,Balasubramanian,Brought this mobile for my mother and its good to hold and having the display features to adjust as per our requirement.
on 31 August 2018,/gp/customer-reviews/R38TKPQU9DZJ8J?ASIN=B01DDP7D6W,2.0,Sudipta Das,"Camera is beter than Moto E4 plus,but it's sounds quality low, It is a hangging issues phone..... otherwise it is a good mobile in law price 👍👍👍"
on 30 September 2017,/gp/customer-reviews/R30A7NAU7QXR5Z?ASIN=B01DDP7D6W,5.0,Prasoon Kumar Goyal,I got it for 7500Totally worth itPremium productBest buy at this price range (good brands only)
on 4 September 2018,/gp/customer-reviews/R3KWUFVY2B2A9B?ASIN=B01DDP7D6W,4.0,Ali Ahmed,"Very good touch and feel. Very fast even when multiple apps open and browsing.Speaker quality is a let down.Battery, heavy user, charge in night and last whole day. Also charging is very fast and doesn't heat"
date,url,rating,user,opinion
on 28 August 2018,/gp/customer-reviews/R9SCRKO2SCDTU?ASIN=B01DDP7D6W,4.0,abhijit,nice phome good for. normal usage cant recommend for heavy usage like gamingcamera is goodand overall product is average
on 7 November 2017,/gp/customer-reviews/R1AR9OOFIXN2LS?ASIN=B01DDP7D6W,5.0,RAJA SEKAR,Great product... Works fabulously... Highly recommended !!!
on 17 September 2017,/gp/customer-reviews/R1RM98TTEY91MJ?ASIN=B01DDP7D6W,3.0,Siddhartha  Mondal,Performance good but sometimes hung.Battary back up is good for one  day.Camera is ok. No autobright.Otg supported.Vedio call.
on 21 September 2018,/gp/customer-reviews/RVO24DLBJYXIC?ASIN=B01DDP7D6W,4.0,JamesM,"I got it for 7k, so shouldn't complain much. It's not bad. Just not good gor playing games as it gets hang a lot which many times made me feel like throwing the device when in the middle of a game! It's decent for everything else though."
on 17 July 2017,/gp/customer-reviews/R30FLNEFXNE38Q?ASIN=B01DDP7D6W,5.0,Amazon Customer,Nice phone  with android 6.0.1. Good camera. No heating  issues after replacement
on 3 October 2018,/gp/customer-reviews/RXDFB6LBH001N?ASIN=B01DDP7D6W,4.0,Anand,"Worth the price !  I bought it for my uncle, NO WONDER  he loves it ( it was his FIRST EVER SMARTPHONE )"
on 6 February 2018,/gp/customer-reviews/R2P1SM44IT4KOF?ASIN=B01DDP7D6W,4.0,marbiang iangrai,"Good phone with great budget. I love the 13 mp camera with Hd video recording which I absolutely love; the color is stunning and the screen resolution is also good. The only downside for me is the battery. Although it has a greater than  average stanby time, but it has a very very slow charging speed."
on 28 October 2016,/gp/customer-reviews/RWES1BVA15ZWG?ASIN=B01DDP7D6W,5.0,santosh srinivas,This is one of the best phones from samsung.Pros:5'5 inch displaycamera clarityperformancesleek designCons:headphone jack down side and beside charging point
on 13 October 2017,/gp/customer-reviews/R3L9H1AXVNBZVK?ASIN=B01DDP7D6W,4.0,Rahul Yadav,i bought it few months earlier after few months expirence i found thatCamera -  GOODBattery -  not impressive with internetScreen & resolution -  AWESOME AND LOOKING AWESOME
on 3 January 2018,/gp/customer-reviews/R2J1FYACV7WLFN?ASIN=B01DDP7D6W,5.0,Amazon Customer,Awesome phone ever.i got it in the offer for 7490.thanks Amazon
date,url,rating,user,opinion
on 12 September 2018,/gp/customer-reviews/R157XEYH2I9PUV?ASIN=B01DDP7D6W,4.0,Amazon Customer,Good one in the price range. Sound and picture quality is good. But the back cover is so delicate. Even basic mobiles have a better back cover than this.
on 27 September 2018,/gp/customer-reviews/R2KE4RI3QQHJSB?ASIN=B01DDP7D6W,4.0,Ekta Mehta,Great phone in thus budget. Only biggest issue us memory its very very less. Rate wise its ok.
on 3 December 2017,/gp/customer-reviews/R28DK3N8TAM0HE?ASIN=B01DDP7D6W,1.0,mohd r.,This is worst Samsung's phone ever nd after buying within ten days display finito and after that head phone jack kaput (broken) don't buy
on 11 October 2017,/gp/customer-reviews/RJXN880G6W1F?ASIN=B01DDP7D6W,3.0,Ambika,"Pros- camera s good, 5.5 s pretty good & phone looks decent as wellCons- useless battery.. it takes 3 hours to charge fully.. processor could have been better but for 7500 this phone s pretty good"
on 21 August 2018,/gp/customer-reviews/R3VYURULVY4RS0?ASIN=B01DDP7D6W,1.0,AVINASH UPADHYAY,Worst product. Battery drainage is very fast. It doesn't seems to have 3000mAh battery. Moreover charger cable is very low quality which is unsuitable for high battery power phones as it takes a long time to charge it. Screen touch is of very low quality. Please don't go for it
on 24 January 2018,/gp/customer-reviews/R1FN7JA23RLBYW?ASIN=B01DDP7D6W,4.0,Humayunali,good phone around 7500k. 2gb ram 16gb internal with 3000mAh battery. Battery is awsum lasts a one and half day with moderate use. power save is useful....
on 7 July 2018,/gp/customer-reviews/R2KRW4RFP97JIX?ASIN=B01DDP7D6W,5.0,Amazon Customer,Awesome
on 6 August 2017,/gp/customer-reviews/R12D40Y17VNRKV?ASIN=B01DDP7D6W,5.0,Mamata,Light wt with lots of adv features...xcellent buy at this price
on 6 April 2018,/gp/customer-reviews/R10UCQ3NMEBSYA?ASIN=B01DDP7D6W,5.0,Vikash dhiman,"This is second phone I purchased from Amazon of same brand and same model. So far no issue found. It is working fine with minimal usage like Facebook,Whatsups,IMO, Videos,Photos and some other small stuffs."
on 3 July 2017,/gp/customer-reviews/R1HT3AGSMOKM1N?ASIN=B01DDP7D6W,4.0,Parvez Ansari,I have both on5 and on7 and the large display on this makes it better for multimedia. The phone is good for mediocre usage and true vfm.
date,url,rating,user,opinion
on 8 July 2017,/gp/customer-reviews/RXVNUE849HO6W?ASIN=B01DDP7D6W,4.0,Amzcstr,"brought at 8740rs onl for my dad.. it's beautiful, golden phone with elegant looks.. working perfectly fine, long lasting battery, very reasonable deal."
on 23 February 2018,/gp/customer-reviews/R3INDWEXVR7QIX?ASIN=B01DDP7D6W,5.0,Mahesh Upadhyay,"Excellent mobile On7 Pro. Its processor is very good, no any hang problem. Touch screen very smooth & Picture quality from camera is better than other brands. The Samsung not included ear phone with this box.  Overall instrument is very good with this price.Samsung On7 Pro (Gold)"
on 14 November 2017,/gp/customer-reviews/RLG12GOAFCUQZ?ASIN=B01DDP7D6W,5.0,Amazon Customer,Nice phone.It give good satisfaction.Good 4G support.Battery life is also good..Nice look.Good storage.
on 5 July 2018,/gp/customer-reviews/R3O6J3NOB5TZG8?ASIN=B01DDP7D6W,5.0,saravanan,good
on 6 June 2018,/gp/customer-reviews/R1I6825TF2ZGQM?ASIN=B01DDP7D6W,2.0,Amazon Customer,Quality of this phone is okay but sound quality is zero. I bought this for my mom. But she cant here the ringtone of the phone
